tag,count
Vegan,2365
Cruelty-Free,1574
Clean at Sephora,1438
Without Parabens,1282
Good for: Dryness,1119
Hydrating,1100
Good for: Dullness/Uneven Texture,856
Without Sulfates SLS & SLES,727
Long-wearing,686
Clean + Planet Positive,658
All Hair Types,632
Good for: Anti-Aging,585
Hyaluronic Acid,560
Without Phthalates,479
Fragrance Free,477
"Best for Dry, Combo, Normal Skin",455
Matte Finish,402
Good for: Pores,397
Good for: Loss of firmness,386
Layerable Scent,381
Increases Shine,369
"Best for Oily, Combo, Normal Skin",366
Good for: Frizz,353
Natural Finish,336
Without Silicones,325
Unisex/ Genderless Scent,317
Floral Scent,306
Good for: Damage,301
Gluten Free,285
Vitamin C,251
Liquid Formula,243
Radiant Finish,239
Good for: Dark Circles,224
Good for: Acne/Blemishes,209
Good for: Color Care,202
Community Favorite,192
Pressed Powder Formula,191
Fresh Scent,190
Cream Formula,190
Volumizing,183
Good for: Dark spots,183
AHA/Glycolic Acid,182
Niacinamide,173
Plumping,172
Waterproof,171
Warm &Spicy Scent,165
Oil Free,159
Good for: Redness,159
Salicylic Acid,155
Shimmer Finish,149
Woody & Earthy Scent,149
Good for: Volume,146
High Shine Finish,144
Curl-Enhancing,141
Medium Coverage,138
Heat Protection,137
SPF,135
Hypoallergenic,120
Lengthening,119
Curly Hair,117
Alcohol Free,117
Full Coverage,117
Without Mineral Oil,116
Good for: Hair Thinning,113
Best for Dry Skin,113
UV Protection,110
Good for: Flaky/Dry Scalp,109
Refill Available,108
Light Coverage,105
Black Owned at Sephora,96
Good for: Oily Scalp,95
Satin Finish,90
allure 2020 Best of Beauty Award Winner,88
Stick Formula,85
Retinol,85
Metallic Finish,81
Coily Hair,80
Prevents Color Fading,70
Lactic Acid,64
Collagen,60
Loose Powder Formula,51
Curling,51
Reef Safe SPF,47
Without Formaldehydes,43
Best for Oily Skin,40
allure 2019 Best of Beauty Award Winner,39
allure 2022 Best of Beauty Award Winner,39
Reduces Brassiness,37
Wavy Hair,34
Medium Hold,33
allure 2021 Best of Beauty Award Winner,32
Best for Normal Skin,32
Customizable,30
Without Oxybenzone,22
Recyclable Packaging,20
Best for Combination Skin,20
Sustainable Packaging,19
CBD,19
allure 2018 Best of Beauty Award Winner,16
Straight Hair,15
Light Hold,15
Strong Hold,14
Without Triclosan,9
allure 2021: Clean Beauty Winner,6
Without Retinyl Palmitate,6
allure 2022 Clean Beauty Winner,5
Without Formaldehyde-Releasing Agents,5
allure 2019: Clean Beauty Winner,3
allure 2017 Best of Beauty Award Winner,3
allure 2018 Readers' Choice Award Winner,2
allure Readers' Choice Award Winner: Original Foundation bareMinerals,1
